Date,Price,Open,High,Low,Vol.,Change %
2007-11-21,803.50,773.75,803.50,772.00,31.31K,3.88%
2007-11-23,826.50,810.75,833.50,805.50,14.78K,2.86%
2007-11-26,814.00,825.50,841.00,811.50,17.19K,-1.51%
2007-11-27,829.00,830.50,831.00,806.25,18.50K,1.84%
2007-11-28,859.00,831.00,859.00,822.00,12.34K,3.62%
2007-11-29,869.00,869.00,892.00,859.00,19.84K,1.16%
2007-11-30,867.00,864.00,888.75,845.75,12.25K,-0.23%
2007-12-01,885.00,865.75,"1,009.50",845.25,359.25K,2.08%
2007-12-03,855.00,865.75,866.50,845.25,5.97K,-3.39%
2007-12-04,875.00,857.75,875.00,855.75,4.95K,2.34%
2007-12-05,863.75,876.00,876.00,850.25,5.35K,-1.29%
2007-12-06,871.00,855.00,876.00,855.00,4.76K,0.84%
2007-12-07,903.50,872.75,904.00,871.50,4.28K,3.73%
2007-12-10,909.00,916.25,927.00,903.50,1.62K,0.61%
2007-12-11,894.00,910.75,911.00,890.00,1.23K,-1.65%
2007-12-12,934.00,885.50,934.00,885.50,0.61K,4.47%
2007-12-13,934.00,934.00,950.50,910.00,0.48K,0.00%
2007-12-14,939.00,937.00,948.50,926.25,,0.54%
2007-12-17,966.00,984.00,"1,009.50",965.00,72.98K,2.88%
2007-12-18,952.00,969.25,977.00,945.50,43.21K,-1.45%
2007-12-19,973.50,954.50,979.00,947.00,30.85K,2.26%
2007-12-20,954.00,977.00,983.00,950.00,35.85K,-2.00%
2007-12-21,949.00,954.75,960.00,938.25,25.43K,-0.52%
2007-12-24,935.25,944.00,947.00,928.00,18.55K,-1.45%
2007-12-26,941.25,939.00,952.50,934.00,17.26K,0.64%
2007-12-27,915.00,940.75,946.00,912.50,26.09K,-2.79%
2007-12-28,885.00,914.00,920.25,885.00,35.24K,-3.28%
2007-12-31,885.00,883.00,900.00,877.25,24.56K,0.00%
2008-01-01,929.50,892.50,993.00,878.50,875.32K,5.03%
2008-01-02,915.00,892.50,915.00,888.25,23.85K,-1.56%
2008-01-03,945.00,920.00,945.00,919.00,39.19K,3.28%
2008-01-04,931.50,947.00,958.00,916.25,49.60K,-1.43%
2008-01-07,903.00,926.75,934.00,901.50,42.07K,-3.06%
2008-01-08,907.50,903.75,930.00,895.50,58.19K,0.50%
2008-01-09,889.50,912.25,916.50,888.00,50.87K,-1.98%
2008-01-10,882.50,887.00,907.00,878.50,61.56K,-0.79%
2008-01-11,909.25,890.00,912.50,885.00,10.21K,3.03%
2008-01-14,917.00,912.50,939.25,902.75,6.34K,0.85%
2008-01-15,932.00,914.00,944.00,901.00,4.60K,1.64%
2008-01-16,926.50,927.50,934.00,902.00,5.13K,-0.59%
2008-01-17,940.50,928.50,956.50,927.25,3.86K,1.51%
2008-01-18,962.50,940.25,967.50,923.50,49.16K,2.34%
2008-01-22,934.00,949.75,986.50,932.50,79.15K,-2.96%
2008-01-23,905.00,935.00,951.75,904.00,61.82K,-3.10%
2008-01-24,909.00,914.75,929.50,902.00,54.23K,0.44%
2008-01-25,933.00,912.00,938.50,903.25,51.95K,2.64%
2008-01-28,963.00,939.75,963.00,933.00,46.58K,3.22%
2008-01-29,944.00,974.50,993.00,939.25,75.11K,-1.97%
